"Hectare","Shift","Date","Anonymized Sighter","Sighter Observed Weather Data","Litter","Litter Notes","Other Animal Sightings","Hectare Conditions","Hectare Conditions Notes","Number of sighters","Number of Squirrels","Total Time of Sighting"
"02D","AM","10072018","116","71º F, cloudy","None",,"Humans, Dogs","Calm",,"1","6","25"
"02D","PM","10122018","134","61º F, sunny","None",,"Humans","Busy",,"1","2","35"
"02E","AM","10102018","167","73º F",,,"Humans, Hawks, Dogs","Calm",,"1","7","20"
"02E","PM","10142018","177","58º F, overcast","Some",,"Humans, Dogs","Busy",,"1","5","22"
"02F","AM","10062018","126","64º F, slight wind, dew point 59, misty","Some",,"Humans, Dogs","Calm",,"1","5","25"
"02G","AM","10102018","60","73º F, Overcast","None",,"Humans, Dogs","Busy",,"1","4","20"
"02G","PM","10072018","119","80º F, Humid. Party. Cloudy.","None",,"Humans, Pigeons, Mice","Calm",,"1","3","22"
"02H","AM","10062018","116","65º F, cloudy",,,"Humans, Pigeons, Ducks, Geese",,,"1","3","22"
"02H","PM","10062018","196","67º F, Cloudy, mist-rain","Some",,"Humans, Dogs","Busy",,"1","2","30"
"02I","AM","10062018","56","65º F, overcast","Some",,"Humans, Pigeons","Busy",,"1","2","28"
"02I","PM","10062018","134",,,,,,,"1","2","20"
"03A","PM","10172018","241","60º F, mostly cloudy","None",,"Humans, Dogs, Birds","Calm",,"1","8","25"
"03B","PM","10072018","231","80º F, Cloudy. Humid","Some",,"Humans, Dogs","Busy",,"1","11","15"
"03C","AM","10072018","116","71º F, Cloudy","None",,"Humans, Dogs","Calm",,"1","2","20"
"03C","PM","10082018","134","62º F, overcast","Some",,"Humans, Dogs","Busy",,"1","2","30"
"03D","AM","10062018","121","64º F, overcast, moist","Some",,"Humans, Dogs, Pigeons, Birds","Busy",,"1","8","35"
"03D","PM","10102018","241","77º F, Sunny, humid","None",,"Humans, Dogs, Birds","Busy",,"1","14","31"
"03E","AM","10062018","28","cloudy, slight drizzle","Some",,"Humans, Dogs (off-leash)","Calm",,"1","8","23"
"03E","PM","10082018","158","65º F, overcast",,,"Humans","Busy",,"1","9","25"
"03F","AM","10062018","93","66º F, overcast","None",,"Humans, Birds","Calm",,"1","14","46"
"03G","AM","10082018","114","67º F, overcast","Some",,"Humans, Dogs, Pigeons","Moderate","kinde (sic)","1","3","20"
"03G","PM","10132018","224","57° F, Cloudy to Partly Cloudy, ""Crisp""","Some",,"Humans, Dogs, Ducks, Cardinal, Small birds, Robin","Busy",,"1","3","39"
"03H","AM","10082018","114","67º F, overcast",,,"Humans, Dogs, Pigeons","Calm",,"1","6","23"
"03I","PM","10132018","27","56° F, Partly Cloudy","Some",,"Humans, Pigeons","Busy",,"1","8","25"
"03I","AM","10102018","123","74º F, Partly cloudy, minimal wind","None",,"Humans, Dogs, Pigeons","Busy",,"1","5","20"
"04A","AM","10072018","110","70º F, Foggy","None",,"Humans, Dogs, Birds, but not pigeons","Calm",,"1","5","22"
"04A","PM","10072018","231","80º F, Cloudy. Humid","Some",,"Humans, Dogs","Busy",,"1","6","20"
"04B","PM","10182018","109","48º F, Sun","None",,"Humans, Dogs","Busy",,"1","5",
"04B","AM","10102018","167","70º F Partly cloudy","Abundant",,"Humans, Dogs","Busy",,"1","6","25"
"04C","PM","10102018","217","77º F, Mostly sunny, humid","None",,"Humans, Dogs, Sparrows","Busy",,"1","17","20"
"04D","AM","10122018","11","60º F, partly cloudy","None",,"Humans, Dogs, Blue Jays","Busy",,"1","4","25"
"04D","PM","10082018","134","65º F, overcast","Some",,"Humans","Calm",,"1","14","65"
"04E","AM","10202018","145","55º F, Cloudy","None",,"Humans, Dogs, Small birds, Dogs","Busy",,"1","4","24"
"04E","PM","10082018","158","65º F, overcast","None",,,,,"1","8","29"
"04F","AM","10072018","8","71º F, Coudy. Misty. Rain.","Some",,"Humans, Dogs","Calm",,"1","0","23"
"04G","PM","10072018","133","77º F, Sunny","Some",,"Humans","Busy",,"1","1","36"
"04H","PM","10062018","134","65º F, Very Overcast","None",,"Humans","Busy",,"1","2","31"
"04H","AM","10062018","168","64º F, overcast","Some",,"Humans, Dogs, Birds, Song birds and Crows","Busy",,"1","4","45"
"04I","AM","10062018","34","65º F, overcast, misty","Some",,"Humans, Dogs, Pigeons, Rat","Busy",,"1","3","42"
"04I","PM","10072018","134","77º F, Sunny","Some",,"Humans","Busy",,"1","3","31"
"05A","AM","10062018","61","64º F","None",,"Humans, Dogs","Busy",,"1","5","50"
"05A","PM","10102018","241","77º F, Mostly Sun, humid",,,"Humans, Dogs, Birds","Calm",,"1","4","23"
"05B","AM","10082018","163","66º F, overcast","Some",,"Humans, Dogs","Busy",,"1","4","26"
"05B","PM","10132018","241","55° F, Partly Cloudy","None",,"Humans, Dogs, Birds","Busy",,"1","6","25"
"05C","AM","10062018","169","64º F, cloudy, light rain","Some",,"Humans, Dogs, Sparrows, Starlings, American robins","Calm",,"1","7","25"
"05C","PM","10102018","217","77º F, Mostly sunny","None",,"Humans, Dogs","Busy",,"1","13","20"
"05D","PM","10182018","109","48º F, Sunny","None",,"Humans, Dogs, Sparrows, Robin","Moderate",,"1","7","20"
"05D","AM","10202018","145","55º F, Cloudy","None",,"Humans, Dogs, Other birds","Calm",,"1","4","23"
"05E","PM","10122018","134","61º F, sunny",,,"Humans","Busy",,"1","6","44"
"05E","AM","10082018","163","66º F, overcast, misty","Some",,"Humans, Hawks, Dogs","Busy",,"1","10","34"
"05F","AM","10072018","17","71º F, Cloudy","Some",,"Humans, Dogs, Pigeons","Busy",,"1","6","25"
"05F","PM","10072018","119","80º F, Humid. Cloudy.","None",,"Humans, Dogs, Pigeons, Tourists","Busy",,"1","6","22"
"05G","PM","10102018","151","77º F Sunny humid",,,"Dogs","Busy",,"1","5","20"
"05G","AM","10062018","230","64º F, cloudy, misty",,,"Humans, little Birds","Busy",,"1","1","20"
"05H","AM","10072018","17","70º F, Cloudy","None",,"Humans, Dogs","Calm",,"1","1","25"
"05H","PM","10062018","196","67º F, Cloudy, misting","Abundant",,"Humans","Busy",,"1","0","30"
"05I","AM","10102018","60","74º F","None",,"Humans, Dogs","Busy",,"1","6","20"
"05I","PM","10082018","96","65º F, dark and damp, drizzling","None",,"Humans, Dogs, Pigeons","Calm",,"1","2","25"
"06A","PM","10122018","115","sunny, chilly","Some",,"Humans, Dogs, Birds","Busy",,"1","7","25"
"06A","AM","10062018","211","65º F, gray, misting","Some",,"Humans, Dogs","Calm",,"1","8","20"
"06B","PM","10172018","241","61º F, mostly cloudy","None",,"Humans, Dogs, Birds","Busy",,"1","7","25"
"06B","AM","10122018","261","58º F, partly sunny, breezy","None",,"Humans (Bikers, Runners), Dogs, Small birds","Busy",,"1","2","22"
"06C","AM","10072018","34","68º F, Overcast. Humid.","None",,"Humans, Dogs","Busy","T/V busy with cars. Lots on dogs in ball fields.","1","8","25"
"06C","PM","10202018","150","65º F",,,,,,"1","4","25"
"06D","PM","10202018","150","65º F","Some",,"Humans, Dogs","Busy",,"1","6","25"
"06D","AM","10082018","250","66º F, cloudy","Some",,"Humans, Dogs","Calm",,"1","4","21"
"06E","PM","10102018","195","77º F, Mostly sunny (humid) but lovely",,,"Humans","Busy",,"1","5","22"
"06F","PM","10082018","114","65º F, drizzly",,,"Humans, Dogs","Busy",,"1","6","23"
"06F","AM","10062018","263","18º C, Cloudy","Abundant",,"Humans, Dogs","Busy",,"1","1","26"
"06G","PM","10202018","242","61º F, Sunny. Sun starting to go down","Some",,"Humans, Horses, Birds","Busy",,"1","4","24"
"06H","AM","10082018","6","66º F, overcast, damp",,,"Humans, Dogs",,,"1","2","30"
"06H","PM","10202018","242","63º F, Perfect","None",,"Humans, Birds, Cardinal","Calm",,"1","3","25"
"06I","AM","10062018","17","65º F, cloudy",,,,,,"1","1","23"
"06I","PM","10132018","256","57° F, Cloudy","Some",,"Humans, Dogs, Pigeons","Busy",,"1","7","26"
"07A","PM","10072018","182","79º F, Cloudy",,,"Humans, Dogs","Calm",,"1","2","22"
"07A","AM","10062018","227","67º F, light drizzle","Some",,"Humans, Dogs, Robins (Birds)","Busy",,"1","3","29"
"07B","AM","10082018","60","67º F, misty","None",,"Humans, Dogs, Pigeons","Busy",,"1","15","30"
"07B","PM","10062018","118","Misty","Some",,"Humans, Dogs","Busy",,"1","1","22"
"07C","AM","10122018","261","58º F, partly cloudy, breezy","None",,"Humans (Very Few)","Calm","Sheep Meadow Closed!","1","3","20"
"07D","PM","10102018","115","77º F, Humid, sunny","Some",,"Humans","Busy",,"1","1","25"
"07D","AM","10062018","117","60s, cloudy, threatening to rain, misty","None",,"Humans, Dogs","Calm",,"1","0","30"
"07E","AM","10062018","118","64º F, Cloudy",,,"Humans, Dogs, Pigeons","Calm",,"1","6","26"
"07F","PM","10122018","131","60º F, sunny","None",,"Humans, Dogs, Small birds","Calm",,"1","3","25"
"07G","AM","10102018","67","Muggy, cloudy, slightly damp","None",,"Humans, Dogs, Birds, Blue jays","Busy",,"1","9","25"
"07G","PM","10182018","242","52º F, Sunny",,,"Humans","Busy",,"1","7","20"
"07H","PM","10062018","227,228","68º F, drizzle","None",,"Humans, Sparrow",,,"1","10","25"
"07I","AM","10122018","44","59º F, sunny, very windy","Some",,"Humans, Dogs, Pigeons, Small birds","Busy","Construction","1","0","25"
"07I","PM","10132018","256",,,,,,,"1","8","33"
"08A","PM","10142018","103","58º F, cloudy, cool & crisp","None",,"Humans, Dogs, Pigeons, Mice, Sparrows","Busy",,"1","3","25"
"08B","PM","10122018","115","chilly, sunny","Some",,"Humans","Busy",,"1","9","35"
"08C","AM","10072018","34","68º F, Overcast. Humid.","None",,"Humans, Dogs","Calm","Humans quietly walking polite dogs. dog run.","1","2","20"
"08D","PM","10072018","182","80º F, Sunny","Some",,"Humans, Dogs","Busy",,"1","4","22"
"08D","AM","10072018","224","71º F, Overcast. Misty","None",,"Humans, Dogs, Pigeons","Calm","Very calm, except you can hear machinery","1","8","26"
"08E","AM","10132018","78","46º F, rain","None",,"Humans, Dogs","Calm",,"1","2","20"
"08E","PM","10082018","96","cloudy, drizzling","None",,"Humans, Dogs","Busy",,"1","8","25"
"08F","PM","10122018","131","60º F, sunny","Some",,"Humans, Dogs","Calm",,"1","8","25"
"08F","AM","10142018","145","52º F, Partly Cloudy, Mostly Sunny","None",,"Humans, Dogs, Owls, Small birds","Busy","Concert at Naumburg Bandshell","1","0","23"
"08G","AM","10122018","44",,,,"Humans","Calm",,"1","0","23"
"08G","PM","10172018","242","61º F, Sunny, Breezy",,,"Humans, Dogs, Horses, Birds","Busy",,"1","2","20"
"08H","PM","10142018","138","57º F, Cloudy","Some",,"Dogs, Pigeons, Small birds","Calm",,"1","9","25"
"08H","AM","10172018","163","50º F, clear, windy","None",,"Humans, Dogs","Busy",,"1","6","26"
"08I","PM","10132018","134","56° F, Partly Cloudy","Some",,"Humans, Dogs, Wood Thrush","Calm",,"1","9","64"
"08I","AM","10062018","237","77º F, cloudy","Some",,"Humans, Dogs","Busy",,"1","12","27"
"09A","PM","10102018","195","77º F (humid) but lovely","None",,"Humans, Dogs, Pigeons","Busy","Doggie play area","1","4","22"
"09B","AM","10102018","211","70º F",,,"Blue jay","Busy",,"1","9","30"
"09C","AM","10062018","196","68º F, cloudy","Some",,"Humans, Dogs, Birds","Busy",,"1","3","20"
"09C","PM","10062018","230","65º F, Mostly Cloudy","Some",,"Humans, Dogs, Birds",,,"1","7","20"
"09D","PM","10082018","55","drizzling","Some",,"Humans, Dogs","Calm",,"1","0","10"
"09D","AM","10082018","60","66º F, overcast, misty","Some",,"Humans, Dogs, Birds","Busy",,"1","4","20"
"09E","AM","10082018","6","overcast, damp",,,"Humans, Dogs","Busy",,"1","4","20"
"09E","PM","10142018","101","57º F, cloudy","None",,"Humans, Hawks, Dogs, Small birds","Busy",,"1","3","30"
"09F","AM","10132018","78","46º F, rain","None",,"Humans, Dogs","Busy",,"1","4","20"
"09F","PM","10142018","138","57º F, crisp & mostly cloudy","Some",,"Humans, Dogs, dogs off-leash :( , Birds","Calm","But loud music at edge","1","8","23"
"09G","PM","10072018","96","81º F, Cloudy","Some",,"Humans, Dogs, Pigeons","Busy",,"1","6","34"
"09G","AM","10072018","97","70º F, Humid. Cloudy.","Some",,"Humans, Dogs, Horse drawn carriage. Woodpecker","Busy",,"1","4","25"
"09H","PM","10182018","242","52º F, Sunny",,,"Humans, Dogs","Busy",,"1","9","21"
"09I","PM","10102018","114","77º F, Mostly sunny",,,"Humans, Dogs","Busy",,"1","7","24"
"10A","AM","10062018","8","65º F, cloudy, light drizzle","None",,"Humans, Dogs, Red Robins","Busy",,"1","4","24"
"10A","PM","10142018","101","57º F, cloudy",,,"Humans, Dogs, Pigeons, Small birds, Rat, Mice",,,"1","4","25"
"10B","PM","10142018","103","58º F, overcast cool & crisp","None",,"Humans, Dogs, Pigeons, Tiny birds on trees","Busy",,"1","5","25"
"10C","AM","10182018","242","43º F, Sunny, Breezy","Some",,"Humans, Dogs","Calm",,"1","4","22"
"10D","PM","10082018","55","65º F, overcast","Some",,"Humans, Dogs","Busy",,"1","1","18"
"10D","AM","10082018","250","66º F, cloudy","Some",,"Humans","Busy",,"1","5","21"
"10E","AM","10102018","211","71º F, Cloudy, humid","Some",,"Humans, Dogs","Busy",,"1","2","25"
"10E","PM","10072018","224","79º F, Partly Cloudy","Some",,"Humans","Busy",,"1","1","24"
"10F","AM","10072018","97","71º F, Humid. Cloudy.","None",,"Humans, Dogs, Pigeons, Chickadees, Tour groups","Busy",,"1","3","25"
"10F","PM","10192018","221","58º F, Partly, Cloudy","Some",,"Humans, Dogs, Pigeons","Busy","CRAZY BUSY","1","12","30"
"10G","PM","10172018","242","60º F, windy, clouds coming in. A couple drops of rain.","None",,"Humans","Calm",,"1","10","23"
"10H","PM","10072018","96","81º F, Partly Cloudy. Humid.","Some",,"Humans, Dogs, Pigeons, Horses","Busy",,"1","2","25"
"10I","AM","10102018","67","Partly cloudy, dewy","Some",,"Humans, Dogs","Busy",,"1","4","26"
"10I","PM","10132018","134","56° F, Partly Cloudy","None",,"Humans, Dogs","Busy",,"1","1","25"
"11A","AM","10142018","13","Mild (mid-50s), cloudy","Some",,"Humans, Dogs, Robins, Small brown birds -- not sparrows","Busy","Noisy and thumpy Avon Walk music from east","1","0","22"
"11A","PM","10132018","229","55º F, cloudy","Some",,"Humans, Dogs, Rat (with an apple core), Horses, Robin","Busy",,"1","5","25"
"11B","AM","10072018","35","71º F, Overcast. Humid","Some",,"Humans, Dogs, Pigeons, Horses","Busy",,"1","5","30"
"11B","PM","10142018","234","Cool, Cloudy","Some",,"Humans, Dogs, Horses","Busy",,"1","8","18"
"11C","AM","10072018","35","70º F, Overcast. Humid.","None",,"Humans, Dogs","Busy",,"1","0","30"
"11C","PM","10182018","191","53º F, Sunset","None",,"Humans, Ducks, Blue Jay, Horse!","Calm",,"1","1","26"
"11D","AM","10102018","83","72º F, Glasses fogging humid","None",,"Humans, Dogs, Blue jays, Robins","Calm",,"1","8","20"
"11E","PM","10122018","132","61º F, sunny","Some",,"Humans, Dogs, Pigeons","Busy",,"1","7","20"
"11E","AM","10132018","203","48º F, rain (from light to steady)",,,"Humans, Horses","Busy",,"1","4","21"
"11F","AM","10132018","97","49º F, rainy, overcast, kinda windy","None",,"Humans, Dogs, Chickadees","Busy",,"1","3","30"
"11G","AM","10122018","37","60º F, partly cloudy, windy","Some",,"Humans, Blue jays, Robins","Calm",,"1","1","20"
"11G","PM","10132018","85","55º F, cloudy","None",,"Humans, Horses","Busy",,"1","2","26"
"11H","AM","10102018","37","70º F, Muggy","Some",,"Humans, Sparrows","Calm",,"1","9","20"
"11I","AM","10122018","166","60º F, windy, partly cloudy","None",,"Humans, Dogs","Calm",,"1","2","20"
"12A","AM","10082018","123","66º F, overcast, drizzling, no wind","Some",,"Humans, Dogs","Busy",,"1","2","20"
"12A","PM","10132018","229","55º F, cloudy","Some",,"Humans, Dogs, Rat",,,"1","4","24"
"12B","PM","10182018","151","50º F, Sunny, Brisk","Some",,"Humans, Dogs","Busy",,"1","1","20"
"12B","AM","10072018","260","70º F, Cloudy","Some",,"Dogs","Busy",,"1","2",
"12C","AM","10132018","203","48º F, light & steady rain",,,"Humans, Dogs, Pigeons, Ducks, Geese","Calm",,"1","3","20"
"12C","PM","10172018","249","partly cloudy, pleasant","Some",,"Humans, Waterfowl","Calm",,"1","1","22"
"12D","AM","10132018","28","rainy","Some",,"Humans, Dogs","Busy",,"1","2","23"
"12D","PM","10142018","36","56º F","None",,"Humans, Dogs","Calm",,"1","3","20"
"12E","AM","10172018","83","51º F, sunny, clear","Some",,"Humans, Dogs, Pigeons, Various bird types","Busy",,"1","8","25"
"12E","PM","10182018","191","53º F, Sunny","None",,"Humans, Dogs, Birds, Ducks","Busy",,"1","6","23"
"12F","PM","10072018","220","79º F, Partly Cloudy",,,"Humans, Dogs, Pigeons","Busy",,"1","15","21"
"12F","AM","10202018","256","55º F, Cloudy","Some",,"Humans, Dogs, Pigeons","Busy",,"1","6","35"
"12G","AM","10122018","166","60º F, windy, cloudy","None",,"Humans, Dogs, Blue jay, Sparrows","Calm",,"1","5","20"
"12H","AM","10072018","235","71º F, Cloud","Some",,"Humans, Dogs, Mandarin Duck","Moderate",,"1","0","20"
"12I","AM","10132018","8","46º F, rainy, cold","None",,"Humans, Dogs","Calm",,"1","1","25"
"12I","PM","10172018","80","60º F, sunny, very windy","None",,"Humans, Dogs","Busy",,"1","0","25"
"13A","AM","10172018","83","49º F, sunny, not a cloud","None",,"Humans, Hawks, Dogs, Pigeons, Sparrows, blue jays","Calm",,"1","5","22"
"13A","PM","10142018","234","cool, cloudy","None",,"Humans, Dogs","Busy",,"1","4","20"
"13B","AM","10082018","123","66º F, overcast, no wind","Some",,"Humans, Dogs, Ducks","Busy",,"1","0","20"
"13B","PM","10082018","240","70º F, misting","None",,"Humans, Dogs, Sparrows, Rats","Busy",,"1","2","20"
"13C","PM","10192018","47","56º F, Overcast","Some",,"Humans","Calm",,"1","5","25"
"13C","AM","10102018","83","71º F Cloudy and wicked humid","Some",,"Humans, Dogs, Blue jay, Cardinal, Warbler","Calm, Busy","Sporadically punctuated busy","1","4","20"
"13D","PM","10182018","215","55º F, Sunny","Some",,"Humans, Dogs, Pigeons, Cats, Birds, Ducks","Busy",,"1","14","27"
"13D","AM","10142018","252","51º F, cloudy w/sun","Some",,"Humans, Dogs","Calm","Loud from concert","1","11","22"
"13E","PM","10082018","184","66º F, misty, cloudy, humid","Some",,"Humans, Dogs","Busy",,"1","11","30"
"13E","AM","10172018","224","52º F, sunny & brisk","Some",,"Humans, Birds (non-pigeon)","Calm",,"1","13","50"
"13F","PM","10082018","127","66º F, misty, light rain, cloudy",,,"Humans","Busy",,"1","5","20"
"13F","AM","10072018","145","70-73º F","None",,"Humans, Dogs, Small birds","Calm",,"1","4","28"
"13G","AM","10132018","162","50º F, rain","None",,"Humans","Calm",,"1","0","25"
"13G","PM","10082018","244","65º F, overcast, light breeze","None",,"Humans, Dogs, Sparrows, Robins","Moderate",,"1","4","22"
"13H","PM","10102018","60","80º F, sunny","Abundant",,"Humans, Dogs","Busy",,"1","9","25"
"13H","AM","10132018","240","~60º F, rainy","Some","2-3 pieces","Humans, Dogs, Ducks","Calm","Tour at Alice in Wonderland)","1","1","20"
"13I","AM","10132018","8","46º F","None",,"Humans, Dogs, Ducks","Calm",,"1","0","30"
"13I","PM","10082018","127","66º F, misty, cloudy","Some",,"Humans, Dogs, Mice","Busy",,"1","1","20"
"14A","AM","10142018","13","mid-50s, cloudy","None",,"Humans, Dogs, Pigeons, Finches, Sparrows","Busy","Avon Walk","1","2","21"
"14A","PM","10142018","36","57º F","Some",,"Humans, Dogs, Small birds","Calm",,"1","8","20"
"14B","AM","10072018","28","67º F, Cloudy","Some",,"Woodpecker","Busy",,"1","3",
"14B","PM","10142018","222","57º F, overcast","Some",,"Humans, Dogs, Rat, Ducks","Calm, Busy","Busy, calm off walkways","1","8","22"
"14C","PM","10062018","25","67º F, Gloomy, overcast","Some",,"Humans, Dogs, Pigeons","Calm",,"1","3","30"
"14C","AM","10072018","254","70º F, Cloudy","Some",,"Humans, Dogs","Calm",,"1","0","22"
"14D","AM","10142018","116","52º F, mostly cloudy","None",,"Humans, Dogs","Calm","Loud music from Bethesda Terrace","1","16","55"
"14D","PM","10192018","151","60º F, Cloudy","Some",,"Humans, Dogs","Busy",,"1","16","35"
"14E","PM","10172018","80","58º F, sunny, breezy","None",,"Humans, Dogs","Calm",,"1","5","25"
"14E","AM","10082018","203","65º F, fog, clouds, mist","Some",,"Humans","Calm",,"1","23","40"
"14F","PM","10122018","24","61º F, sunny, windy","Some",,"Humans, Dogs","Calm",,"1","9","25"
"14F","AM","10072018","172","73º F","Some",,"Humans, Dogs","Calm",,"1","6","29"
"14G","AM","10122018","37","60º F, partly cloudy, windy","None",,"Humans, Dogs, Robins, Horses","Calm",,"1","4","20"
"14H","PM","10122018","24","61º F, sunny, windy, sun going behind trees","Some",,"Humans, Dogs (Lots)","Busy",,"1","8","20"
"14H","AM","10072018","235","71-78º F, Cloudy","Some",,"Humans, Dogs, Mandarin Ducks",,,"1","4","25"
"14I","PM","10182018","70","40º F, Sunny","Some",,"Humans, Dogs, Pigeons, Rat","Calm",,"1","6","25"
"14I","AM","10132018","240","~60º F, rainy","None",,"Humans, Dogs, Pigeons","Calm, Busy","Calm (in Park), Busy (on Road)","1","1","21"
"15A","PM","10172018","224","52º F, cloudy, light rain drops, chilly","None",,"Humans, Birds","Calm, Busy","Busy at sidewalk","1","1","20"
"15B","PM","10172018","206","cool, windy","None",,"Humans, Dogs, Birds","Busy",,"1","5","40"
"15B","AM","10142018","209","50º F, sunny","None",,"Humans, Dogs","Busy",,"1","3","20"
"15C","AM","10102018","203","74º F Muggy & cloudy","None",,"Humans, Dogs, Crickets","Calm",,"1","3","37"
"15C","PM","10172018","249","got dark very suddenly","Some",,"mouse, Rats, Other birds","Calm",,"1","5","40"
"15D","PM","10172018","163","61º F, partly cloudy, then some showers","Some",,"Humans, Birds, Mouse, Rat","Calm",,"1","6","31"
"15E","AM","10132018","132","47º F, raining","None",,"Humans","Calm",,"1","4","20"
"15E","PM","10082018","203","64º F, cloudy","Some",,"Humans","Moderate",,"1","11","33"
"15F","PM","10102018","60","80º F Sunny",,,"Humans, Dogs","Busy",,"1","7","29"
"15F","AM","10072018","145","73º F, Cloudy","None",,"Humans, Dogs","Calm",,"1","10","30"
"15G","AM","10082018","67","damp, misty, cloudy","Some",,"Humans, Dogs","Busy",,"1","6","23"
"15G","PM","10192018","138","60º F, Mostly Sunny + Slightly Breezy","Some",,"Humans, Dogs, Small birds","Calm",,"1","12","23"
"15H","AM","10132018","97","49º F, light rain, cloudy","None",,"Humans, Dogs, Bluebird, Chickadees","Calm",,"1","3","27"
"15H","PM","10082018","244","67º F, overcast, light breeze","None",,"Humans, Dogs","Calm",,"1","7","21"
"15I","AM","10082018","67","damp, humid, cloudy, dreary, misty, not raining, moist","Some",,"Humans, Dogs, Sparrows, Crickets, Blue jay","Busy",,"1","6","29"
"16A","AM","10132018","28","rainy",,,"Humans, Dogs","Calm",,"1","2","23"
"16A","PM","10192018","88","58º F, Partly Cloudy","None",,"Humans, Dogs, Sparrows","Calm",,"1","7","20"
"16B","PM","10172018","206","cool, windy","None",,"Humans, Dogs, Birds","Busy",,"1","2",
"16B","AM","10142018","209","50º F, sunny","None",,"Humans, Dogs","Busy",,"1","2","19"
"16C","PM","10182018","1","51º F, Dry and Clear","Some",,"Humans, Birds (unknown), Chipmunk","Busy",,"1","3","24"
"16C","AM","10142018","172","50º F, partly cloudy","Some",,"Humans, Dogs","Calm",,"1","4","43"
"16D","PM","10102018","203","76º F, Sunny, occasional breezes","None",,"Humans, Dogs, Butterflies","Moderate",,"1","13","28"
"16D","AM","10072018","254","70º F, Cloudy","Abundant",,"Humans","Calm",,"1","6","21"
"16E","AM","10142018","35","50º F, sunny","Abundant",,"Humans, Dogs, Yoga Class","Calm",,"1","10","40"
"16E","PM","10182018","267","48º F, Partly Cloudly","Some",,"Humans","Busy",,"1","10","35"
"16F","PM","10132018","85","55º F, clouds","Some",,"Humans, Dogs, Raccoon (Dead)","Busy",,"1","6","46"
"16F","AM","10082018","149","68º F, moist","Some",,"Humans","Calm",,"1","3","30"
"16G","AM","10102018","37","70º F Muggy and partly cloudy","None",,"Humans, Dogs, Sparrows","Busy",,"1","5","20"
"16G","PM","10172018","104","62º F, sunny, light breeze","Some",,"Humans, Dogs","Busy",,"1","1","25"
"16H","AM","10072018","172","72º F, Overcast","None",,"Humans, Dogs","Calm","Calm, but lots of dogs","1","1","20"
"16I","AM","10082018","149","70º F, moist","Some",,"Humans","Calm",,"1","4","25"
"17A","PM","10132018","141","50s, sunny","None",,"Humans","Busy",,"1","3","20"
"17A","AM","10172018","255","Low 50s, cool & sunny","Some",,"Humans, Dogs, Pigeons, other Birds","Busy",,"1","1","25"
"17B","PM","10122018","29","60º F, Breezy","None",,"Humans, Dogs, Mouse or Baby Rat","Busy",,"1","3","22"
"17B","AM","10102018","166","73º F, Sunny","None",,"Humans, Dogs, Pigeons","Busy",,"1","3","20"
"17C","PM","10132018","141","50s, sunny","None",,"Humans","Busy",,"1","5","25"
"17D","PM","10082018","184","66º F, misty, cloudy , humid","None",,"Humans","Calm",,"1","0","10"
"17D","AM","10082018","184","67º F, misty, cloudy, humid","None",,"Humans, Dogs","Calm",,"1","7","20"
"17E","PM","10182018","178","73º F","Some",,"Humans, Cats","Moderate","Partially blocked due to contruction","1","3","20"
